City,Country,coffee_price_usd,monthly_net_salary,daily_income_usd,coffee_affordability,restaurant_avg_usd,market_avg_usd,general_price_index,coffee_relative_price,coffee_survival_days_30,relative_cost_of_living,student_score
Thessaloniki,Greece,3.77,1132.27,37.742333333333335,0.09988783594019095,11.617142857142857,3.2885,7.452821428571429,0.5058486958438558,7.957559681697613,0.3705823541007013,0.2758149975433925
Warsaw,Poland,3.09,2180.63,72.68766666666667,0.042510650591801445,9.664285714285715,2.8305,6.247392857142858,0.49460632149410894,9.708737864077671,0.3106439050205022,0.23176600274823383
Szczecin,Poland,2.34,1661.45,55.38166666666667,0.042252249541063526,6.811428571428571,2.42,4.615714285714286,0.5069637883008357,12.820512820512821,0.22951070037701268,0.219117401336185
Katowice,Poland,2.13,1627.79,54.25966666666667,0.039255677943715095,6.805714285714286,2.3205,4.5631071428571435,0.46678719857240125,14.084507042253522,0.2268948750779154,0.20504297355916098
Lublin,Poland,2.43,1481.23,49.37433333333333,0.049215854391282926,6.982857142857142,2.258,4.620428571428571,0.5259252388461183,12.345679012345679,0.22974511242010895,0.22833452133349877
Budapest,Hungary,1.48,1621.29,54.043,0.027385600355272655,7.4799999999999995,2.2035,4.841749999999999,0.3056746011256261,20.27027027027027,0.24075004750395565,0.1535451900161153
Debrecen,Hungary,1.26,1177.69,39.25633333333334,0.03209673173755402,6.227142857142857,2.0565,4.141821428571428,0.30421398453061543,23.80952380952381,0.20594696249940064,0.14850195372784178
Brno,Czech Republic,2.42,1849.96,61.665333333333336,0.03924409176414625,8.59142857142857,3.0255,5.808464285714285,0.4166333614122248,12.396694214876034,0.2888187231291876,0.2023757989315781
Ostrava,Czech Republic,2.15,1673.83,55.794333333333334,0.038534379238034926,6.382857142857143,2.895,4.638928571428571,0.46346908922934793,13.953488372093023,0.23066500210438082,0.20444091680869803
Olomouc,Czech Republic,2.27,1603.46,53.44866666666667,0.04247065720379679,6.380000000000001,2.9475000000000002,4.66375,0.4867327794157062,13.215859030837004,0.23189921702825908,0.21363500583226205
Brussels,Belgium,3.82,3552.38,118.41266666666667,0.032260062268113204,17.037142857142857,4.583,10.81007142857143,0.35337416826900836,7.853403141361257,0.5375174699126816,0.22964577559729543
Antwerp,Belgium,3.43,3036.74,101.22466666666666,0.03388502143746255,19.958571428571428,4.5545,12.256535714285715,0.2798506919049021,8.746355685131196,0.6094411226205846,0.22278594281431882
Rotterdam,Netherlands,3.53,3912.08,130.40266666666668,0.027069998568536428,15.858571428571429,4.1445,10.001535714285714,0.3529457976096528,8.498583569405099,0.49731402867285485,0.218881544301735
The Hague,Netherlands,3.33,4596.37,153.21233333333333,0.02173454269347333,15.674285714285713,4.0415,9.857892857142856,0.337800384753334,9.00900900900901,0.4901715647536631,0.21024169972346948
Utrecht,Netherlands,3.81,4266.36,142.212,0.026790988102269854,19.00857142857143,4.406499999999999,11.707535714285715,0.325431422374478,7.874015748031496,0.5821427746927338,0.22745347570202507
Eindhoven,Netherlands,3.58,4017.97,133.93233333333333,0.02672991585303026,17.111428571428572,4.413,10.762214285714286,0.33264530002455683,8.379888268156424,0.5351378325054919,0.22018611443498054
Maastricht,Netherlands,3.54,3439.83,114.661,0.03087361875441519,17.31714285714286,4.1685,10.742821428571428,0.329522372082354,8.474576271186441,0.5341735466009365,0.2211282303221011
Groningen,Netherlands,3.7,3040.86,101.36200000000001,0.036502831435843805,16.72714285714286,4.2509999999999994,10.489071428571428,0.35274809836087906,8.108108108108107,0.5215561407963971,0.22838707338546504
Nijmegen,Netherlands,3.13,3205.23,106.841,0.029295869563182673,16.678571428571427,4.167,10.422785714285713,0.3003035930893167,9.584664536741215,0.5182601654025581,0.20839104578889797
Singapore,Singapore,4.47,4595.33,153.17766666666665,0.029181799783693445,14.102857142857143,6.044,10.073428571428572,0.4437416683211844,6.7114093959731544,0.5008888123300734,0.24789116285421675
Dubai,United Arab Emirates,5.1,4161.27,138.709,0.036767621423267415,16.617142857142856,3.9635,10.290321428571428,0.4956113407536208,5.882352941176471,0.5116735421613144,0.2694019213699828
