City,Country,student_score,coffee_affordability,coffee_relative_price,relative_cost_of_living
Singapore,Singapore,0.24789116285421675,0.029181799783693445,0.4437416683211844,0.5008888123300734
Jakarta,Indonesia,0.2480567650421113,0.12402157261872286,0.48570019723865876,0.2016795978057612
San Jose,United States,0.24935258200694788,0.024276312362165074,0.43816259163367344,0.5288282416788165
Las Vegas,United States,0.2506481666190179,0.03337323521286947,0.45217089718856346,0.49155139928007086
Denver,United States,0.25113476819971287,0.028060599557428057,0.45006836613632173,0.5104197929005116
Oslo,Norway,0.25140741421738555,0.034440072732502595,0.32576104610002915,0.6822953201056274
Los Angeles,United States,0.2533054278031164,0.033332385717534684,0.40338261449191676,0.5781222529838699
New York,United States,0.2559782236809188,0.026259731627721997,0.3411759649925551,0.7024778418464566
Helsinki,Finland,0.2628301526611587,0.04275713422060228,0.3892544796741019,0.6233762082431349
Seattle,United States,0.26358555394413724,0.02170511871417778,0.27874154660394007,0.8455526530293316
Athens,Greece,0.26825073419095496,0.0900721055951706,0.4893330234719963,0.3820738717588539
Dubai,United Arab Emirates,0.2694019213699828,0.036767621423267415,0.4956113407536208,0.5116735421613144
Kuala Lumpur,Malaysia,0.2750330057694126,0.06366921689831477,0.6689331985665717,0.21259218875141844
Thessaloniki,Greece,0.2758149975433925,0.09988783594019095,0.5058486958438558,0.3705823541007013
Shenzhen,China,0.28174390741676314,0.07867587025903659,0.5545806310970626,0.38015891479063035
Lima,Peru,0.2897665319574057,0.13718423016465284,0.5696564683276937,0.25138738188385595
Geneva,Switzerland,0.29507911346448773,0.022489685557913607,0.2794475689517697,1.0
Copenhagen,Denmark,0.2961607909894618,0.040272862318993054,0.44797416073806395,0.7081605580427305
Shanghai,China,0.3099623178918857,0.07771421225171948,0.717492210847587,0.2792877425587495
Beijing,China,0.3411481928971218,0.08646988281332184,0.8286230657901369,0.24663165876709922
Guangzhou,China,0.36735968654972145,0.08177770166124336,0.9557424070483321,0.19874056802300077
